title,price
"Samsung Galaxy S25 5G AI Smartphone (Silver Shadow, 12GB RAM, 256GB Storage), 50MP Camera with Galaxy AI","80,999"
"Samsung Galaxy S25+ 5G AI Smartphone (Silver Shadow, 12GB RAM, 512GB Storage), 50MP Camera with Galaxy AI","1,11,999"
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","83,400"
"iPhone 16 Plus 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultrmarine","94,400"
"amazon basics Tabletop Stanw3  `11Q     for Mobile, Tablet and E-Reader, Clip Mount, Multi-Angle, Foldable, Lazy Bracket, Universal Compatibility",199
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Clear),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Dark Blue),299
Amazon Bran+d-Solimo Basic Case for Apple iPhone 16 (Silicone_Black),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Black),299
Amazon Brand- Solimo Flip for Apple iPhone 14 (Leather_Brown),168
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)","71,999"
"iPhone 16 Pro Max 512 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,57,900"
Apple iPhone 15 (512 GB) - Blue,"87,999"
amazon basics Back Case Cover For Iphone 14 (Thermoplastic Polyurethane_Clear),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Green),299
amazon basics Back Case Cover For Iphone 14 Plus (Thermoplastic Polyurethane_Clear),299
"Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone, Thermoplastic Polyurethane_Blue_2)",499
Amazon Brand - Solimo Designer Couple Sitting On Moon 3D Printed Hard Back Case Mobile Cover for Apple iPhone 6 / 6S (Logo Cut),169
Amazon Brand - Solimo Silicone Mobile Cover for Apple iPhone 14 Plus (Silicon_Black),259
